title,desc
标题,描述
简介,这是一个诸多修士竞相修行的修仙世界。
境界,修仙的境界从弱到强：练气、筑基、金丹、元婴。每个境界分前期、中期、后期。境界间差距很大。
寿元,每个角色均有寿元，超过寿元后容易老死。提升境界和某些宝物、丹药能提高寿元。
死亡,HP降至0以下也会死亡。
区域,不同区域有不同效果，在适当的区域做适当的事情事半功倍。
修炼,修炼可以增加经验，直到到达突破前的瓶颈。突破是概率事件，突破后会进入下一个境界。
灵根,决定了你与天地灵气的亲和度。在与自身灵根属性匹配的区域（如火灵根在火属性洞府）修炼，效率最高。
天地灵机,世界每隔数年会有一次天象变动（如灵气潮汐），影响角色能力。
灵石,修仙界的通用货币。可用于购买法宝丹药，通过采集、交易或掠夺获取。
宗门,修士的庇护所。加入宗门可习得独门功法、获同门庇护；散修自由但资源匮乏。
战斗,弱肉强食，境界压制极大，高境界者对低境界者有绝对优势。若对方死亡，胜者可掠夺败者财物。
动作,你有一系列可以执行的动作。要注意动作的效果、限制条件、区域和时间。
装备与丹药,通过兵器、辅助装备、丹药等装备，可以获得额外的属性加成，获得或小或大的增益。拥有好的装备或者服用好的丹药，能获得很大好处。
购物,在城市区域可以购买练气级别丹药、兵器。购买丹药后会立刻服用强化自身。购买兵器可以帮自己切换兵器类型为顺手的类型。
拍卖会,每隔一段不确定的时间会有神秘人组织的拍卖会，或许有好货出售。
